iter	RMSE
206	8.744626811
207	8.722062819
208	8.69292722
209	8.671934286
210	8.651933497
211	8.637927071
212	8.612618928
213	8.598582722
214	8.583495693
215	8.558061803
216	8.527957865
217	8.509740893
218	8.492637015
219	8.473446141
220	8.459204825
221	8.445679658
222	8.432248849
223	8.41239904
224	8.394167736
225	8.373794452
226	8.353230682
227	8.33757178
228	8.323533672
229	8.314228676
230	8.295717032
231	8.266513336
232	8.250621226
233	8.233274937
234	8.220593103
235	8.198917034
236	8.185737206
237	8.172531829
238	8.160516174
239	8.138744088
240	8.129129171
241	8.118904213
242	8.103623901
243	8.084647892
244	8.074252838
245	8.068073811
246	8.045948742
247	8.027291434
248	8.018380655
249	7.99067473
250	7.982161199
251	7.967075471
252	7.943616936
253	7.922077726
254	7.903190667
255	7.881534659
256	7.865840295
257	7.83938747
258	7.81765797
259	7.811023291
260	7.796473259
261	7.782814258
262	7.775316938
263	7.760088803
264	7.752061923
265	7.738339112
266	7.726836943
267	7.710746899
268	7.694723559
269	7.680741603
270	7.661230269
271	7.64929145
272	7.640014739
273	7.622707934
274	7.608731519
275	7.590402903
276	7.582847704
277	7.572537754
278	7.559442132
279	7.550855081
280	7.532889907
281	7.527290387
282	7.521247223
283	7.511457944
284	7.500673343
285	7.481817038
286	7.4725515
287	7.463604529
288	7.452056436
289	7.440269255
290	7.42548361
291	7.418291889
292	7.410639817
293	7.396227285
294	7.381984301
295	7.364729987
296	7.360932918
297	7.35170737
298	7.3456233
299	7.329585444
300	7.311376903
301	7.303858956
302	7.29389984
303	7.28321149
304	7.273274623
305	7.264763214
306	7.259105478
307	7.24725177
308	7.237668462
309	7.228203329
310	7.214543521
311	7.209525576
312	7.194055626
313	7.179573405
314	7.171254149
315	7.162196218
316	7.149332797
317	7.138791863
318	7.130874023
319	7.121456837
320	7.112472927
321	7.097597052
322	7.086488901
323	7.081492816
324	7.067795255
325	7.056879787
326	7.045613589
327	7.039681016
328	7.0327693
329	7.021938867
330	7.010231637
331	6.992566667
332	6.986102943
333	6.968958454
334	6.955655488
335	6.947910608
336	6.938999002
337	6.923715815
338	6.914589149
339	6.905212097
340	6.897079204
341	6.888492303
342	6.880890726
343	6.876979341
344	6.869126022
345	6.862334399
346	6.857872609
347	6.842513621
348	6.833049625
349	6.818209509
350	6.810588134
351	6.799308204
352	6.793581953
353	6.786648725
354	6.775527639
355	6.772351538
356	6.764340909
357	6.755949419
358	6.743604189
359	6.737276291
360	6.7307618
361	6.720110342
362	6.706564301
363	6.694822124
364	6.680896246
365	6.668452958
366	6.662722147
367	6.656820275
368	6.648327396
369	6.640723125
370	6.633973151
371	6.628357916
372	6.620334072
373	6.617082285
374	6.604416749
375	6.601138839
376	6.590163266
377	6.580748541
378	6.579430691
379	6.5728671
380	6.561041408
381	6.551771482
382	6.545845842
383	6.5416517
384	6.537043771
385	6.53176545
386	6.525203361
387	6.519489493
388	6.508924627
389	6.501576553
390	6.497953538
391	6.492021139
392	6.483514466
393	6.47362129
394	6.471098886
395	6.465043729
396	6.453926222
397	6.443049677
398	6.431544742
399	6.421301311
400	6.412344332
401	6.403309389
402	6.39329188
403	6.387955538
404	6.379670668
405	6.37325397
406	6.368652855
407	6.362199755
408	6.352728114
409	6.347194847
410	6.342402229
411	6.333405849
412	6.324497213
413	6.318899371
414	6.311092913
415	6.307262652
416	6.301426816
417	6.292645811
418	6.287832686
419	6.283030226
420	6.276468917
421	6.273127113
422	6.262145027
423	6.252410145
424	6.247753976
425	6.243308644
426	6.237967725
427	6.230160227
428	6.22529061
429	6.221201586
430	6.210772974
431	6.207561122
432	6.199789484
433	6.192140384
434	6.185534678
435	6.181398095
436	6.178321137
437	6.175033269
438	6.171351646
439	6.161367112
440	6.157734397
441	6.147678851
442	6.138528896
443	6.130977033
444	6.122298794
445	6.118527767
446	6.11143311
447	6.105413252
448	6.098499009
449	6.091546118
450	6.088233131
451	6.084440821
452	6.077647229
453	6.069889861
454	6.066857494
455	6.057027336
456	6.049747588
457	6.043083465
458	6.038618228
459	6.036259295
460	6.032473833
461	6.024289288
462	6.019179462
463	6.015918618
464	6.010881157
465	6.004334225
466	5.999157858
467	5.993486442
468	5.987132814
469	5.984917497
470	5.978728387
471	5.974214731
472	5.968886153
473	5.964642043
474	5.961133092
475	5.955252918
476	5.949634559
477	5.945919848
478	5.938145461
479	5.931652694
480	5.92660608
481	5.921439528
482	5.91736304
483	5.911073626
484	5.905589147
485	5.896460417
486	5.888716287
487	5.886156548
488	5.880112058
489	5.877985647
490	5.871857206
491	5.867758256
492	5.861902001
493	5.854416885
494	5.851589778
495	5.849862044
496	5.844284728
497	5.837020587
498	5.834209004
499	5.825137518
500	5.821753887
501	5.813969537
502	5.807782426
503	5.805486231
504	5.802403951
505	5.797076867
506	5.790086733
507	5.78513021
508	5.781626904
509	5.777693897
510	5.774776475
511	5.767214039
512	5.763285398
513	5.760877472
514	5.754502083
515	5.750346724
516	5.743409818
517	5.739187674
518	5.733708413
519	5.729297493
520	5.725545612
521	5.719463503
522	5.716016931
523	5.710089747
524	5.708148147
525	5.702950301
526	5.698734122
527	5.695518204
528	5.690995333
529	5.683010757
530	5.67986085
531	5.675573085
532	5.667825084
533	5.664978807
534	5.660450168
535	5.65440325
536	5.650416191
537	5.646328787
538	5.644182073
539	5.641082086
540	5.63428497
541	5.628818851
542	5.62318328
543	5.614035938
544	5.610594866
545	5.604302001
546	5.59544012
547	5.589555721
548	5.587187734
549	5.584756577
550	5.580138688
551	5.576224078
552	5.573743555
553	5.569233979
554	5.563798315
555	5.556071096
556	5.552581646
557	5.546662195
558	5.541746442
559	5.5392305
560	5.535843886
561	5.531288613
562	5.5271857
563	5.524356651
564	5.518006442
565	5.511365091
566	5.505243087
567	5.499697987
568	5.494360092
569	5.489079693
570	5.484969033
571	5.479107866
572	5.47567279
573	5.474870004
574	5.471707088
575	5.469733063
576	5.467146127
577	5.462604886
578	5.459409115
579	5.456574427
580	5.454381124
581	5.449439499
582	5.444389861
583	5.439638397
584	5.438504093
585	5.431850824
586	5.42938314
587	5.427688824
588	5.426537425
589	5.422275578
590	5.418152576
591	5.416178574
592	5.410370788
593	5.40710982
594	5.402484214
595	5.399405202
596	5.393283676
597	5.38686588
598	5.382342442
599	5.380666936
600	5.37664564
601	5.369965225
602	5.364589738
603	5.360147948
604	5.355968262
605	5.351063341
606	5.347586948
607	5.343456432
608	5.340815926
609	5.335504704
610	5.332180148
611	5.326477459
612	5.324710429
613	5.322172285
614	5.317906234
615	5.314504805
616	5.309082271
617	5.30683224
618	5.302454567
619	5.29980497
620	5.295750901
621	5.294641853
622	5.292405585
623	5.288070107
624	5.283998654
625	5.279540587
626	5.275367899
627	5.272669086
628	5.26786299
629	5.266095991
630	5.261521995
631	5.255529518
632	5.250199759
633	5.2475376
634	5.243486039
635	5.242807539
636	5.241528829
637	5.234893273
638	5.23333794
639	5.22999468
640	5.225940588
641	5.220485248
642	5.216629617
643	5.21218003
644	5.207567286
645	5.204635095
646	5.20093807
647	5.198069826
648	5.194730389
649	5.192468866
650	5.188064487
651	5.184671149
652	5.1738858
653	5.16931403
654	5.164041317
655	5.163170531
656	5.159514162
657	5.157061987
658	5.15480631
659	5.150402993
660	5.1458494
661	5.143640936
662	5.140045591
663	5.133462701
664	5.130564537
665	5.124196033
666	5.117933705
667	5.112593007
668	5.108481461
669	5.106458814
670	5.105290295
671	5.10274462
672	5.100688995
673	5.096947459
674	5.092419776
675	5.090493831
676	5.087899713
677	5.083157061
678	5.081562968
679	5.07978066
680	5.077777036
681	5.073817634
682	5.064467147
683	5.059948446
684	5.056557591
685	5.053895682
686	5.051230644
687	5.049705182
688	5.046526359
689	5.041596234
690	5.038791684
691	5.037184323
692	5.034424341
693	5.030296696
694	5.027379442
695	5.024641631
696	5.02202204
697	5.0164589
698	5.014579307
699	5.013113328
700	5.010872002
701	5.007241046
702	5.005322368
703	5.002733815
704	5.000584398
705	4.99702537
706	4.994408224
707	4.991245028
708	4.987862553
709	4.986615615
710	4.984309342
711	4.981751746
712	4.97995268
713	4.977557738
714	4.976327433
715	4.974431157
716	4.971460063
717	4.967978846
718	4.965257178
719	4.962942178
720	4.962175798
721	4.960188573
722	4.958730804
723	4.955281927
724	4.950774659
725	4.947134241
726	4.944310442
727	4.941962832
728	4.938838914
729	4.936015124
730	4.932607198
731	4.930988914
732	4.927365512
733	4.920270757
734	4.917663624
735	4.915384061
736	4.912145573
737	4.907883745
738	4.906403741
739	4.90379613
740	4.902416215
741	4.898472015
742	4.897142665
743	4.89441297
744	4.889775108
745	4.887882438
746	4.885668097
747	4.884628392
748	4.8829466
749	4.881266245
750	4.878634281
751	4.874556897
752	4.872708559
753	4.871952755
754	4.870156008
755	4.867554263
756	4.865520196
757	4.863319775
758	4.860394548
759	4.859559672
760	4.855393613
761	4.850655633
762	4.844034251
763	4.840950744
764	4.838721952
765	4.836658021
766	4.834892016
767	4.832500918
768	4.826641368
769	4.824237078
770	4.821795652
771	4.82020959
772	4.818972942
773	4.818249195
774	4.816512024
775	4.814076173
776	4.812025083
777	4.809642188
778	4.804008427
779	4.803413217
780	4.800322298
781	4.795814735
782	4.79425128
783	4.789535791
784	4.787962424
785	4.785682931
786	4.783644694
787	4.782248858
788	4.780980224
789	4.778433317
790	4.773777315
791	4.770013588
792	4.764883965
793	4.759959004
794	4.755240993
795	4.75204283
796	4.747821451
797	4.746891865
798	4.742918368
799	4.740099318
800	4.73457995
801	4.730862449
802	4.728912415
803	4.726936089
804	4.724407932
805	4.721909628
806	4.719175648
807	4.718252079
808	4.714698639
809	4.713308412
810	4.711956808
811	4.709003868
812	4.705901709
813	4.703675799
814	4.698736233
815	4.695846198
816	4.693663668
817	4.692048154
818	4.691509971
819	4.688304643
820	4.687421304
821	4.685667078
822	4.68437472
823	4.679312198
824	4.675814804
825	4.674063082
826	4.670710069
827	4.667825791
828	4.665059637
829	4.660763805
830	4.656041366
831	4.65517709
832	4.65306828
833	4.649800017
834	4.647829376
835	4.644930775
836	4.643563528
837	4.642765296
838	4.64169662
839	4.638488662
840	4.635574343
841	4.629880579
842	4.627825569
843	4.624662407
844	4.622620345
845	4.62053195
846	4.618258909
847	4.617121717
848	4.616054769
849	4.611907496
850	4.607607895
851	4.605858075
852	4.602496877
853	4.601656004
854	4.60112186
855	4.599792703
856	4.595783523
857	4.594521791
858	4.593001889
859	4.591234544
860	4.589660292
861	4.582922393
862	4.580891873
863	4.579467652
864	4.574409883
865	4.570977627
866	4.56837767
867	4.564420384
868	4.56317208
869	4.561404586
870	4.558002676
871	4.553989477
872	4.550471673
873	4.549776782
874	4.548412819
875	4.54741231
876	4.544552266
877	4.541737941
878	4.537904805
879	4.537135622
880	4.535965429
881	4.531285493
882	4.528239704
883	4.52591368
884	4.524551152
885	4.521860673
886	4.519678306
887	4.516844938
888	4.515016846
889	4.511358719
890	4.506974939
891	4.506293177
892	4.501106529
893	4.497722345
894	4.496926251
895	4.494126353
896	4.489806971
897	4.487611395
898	4.486523114
899	4.483782817
900	4.482297683
901	4.477215398
902	4.476362871
903	4.471249921
904	4.469775517
905	4.468366717
906	4.463360033
907	4.457878381
908	4.456570682
909	4.455831654
910	4.453797406
911	4.451275341
912	4.448164008
913	4.445480392
914	4.441762446
915	4.439555189
916	4.435000415
917	4.431976953
918	4.428717768
919	4.426963166
920	4.422696103
921	4.421505551
922	4.418223352
923	4.415702664
924	4.415024574
925	4.411130963
926	4.407434936
927	4.406710923
928	4.405116307
929	4.403301285
930	4.402594317
931	4.39981956
932	4.39876474
933	4.39814432
934	4.396869444
935	4.394850938
936	4.394052254
937	4.391110426
938	4.387390859
939	4.386766327
940	4.384567293
941	4.382140454
942	4.379291096
943	4.376491839
944	4.373966583
945	4.36969524
946	4.368275334
947	4.367599776
948	4.364975479
949	4.364162291
950	4.359575952
951	4.355118591
952	4.352952735
953	4.351773915
954	4.350655282
955	4.34797731
956	4.345101062
957	4.342747814
958	4.341213504
959	4.339893005
960	4.337358148
961	4.334811139
962	4.33205893
963	4.331221368
964	4.328297537
965	4.327631348
966	4.324377263
967	4.323988753
968	4.323004294
969	4.322430113
970	4.320280902
971	4.316998952
972	4.313669332
973	4.312256404
974	4.309280933
975	4.306517386
976	4.301959582
977	4.299895475
978	4.296541275
979	4.292460943
980	4.291175589
981	4.289850588
982	4.28775191
983	4.286623992
984	4.284784361
985	4.283631846
986	4.281939696
987	4.279230564
988	4.275583753
989	4.272888348
990	4.270906967
991	4.269593752
992	4.268049168
993	4.265656426
994	4.262639157
995	4.259586331
996	4.257548485
997	4.255877487
998	4.252620427
999	4.251033312
